"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/5755/1","https://pasta.lternet.edu/package/report/eml/lter-landsat/5755/1"
"doi:10.6085/AA/TPT003_019MXTI010R00_20020906.50.2","doi:10.6085/AA/TPT003_019MXTI010R00_20020906.40.1"
"doi:10.5063/AA/bowdish.279.1","doi:10.5063/AA/bowdish.278.1"
"doi:10.5063/AA/stoms.10.5","doi:10.5063/AA/stoms.13.1"
"doi:10.5063/AA/nceas.908.13","doi:10.5063/AA/mbauer.70.1"
"doi:10.5063/AA/nceas.908.13","doi:10.5063/AA/mbauer.1004.1"
"doi:10.5063/AA/nceas.908.13","doi:10.5063/AA/mbauer.36.1"
"doi:10.5063/AA/nceas.908.13","doi:10.5063/AA/mbauer.973.1"
"doi:10.5063/AA/nceas.908.13","doi:10.5063/AA/mbauer.71.1"
"doi:10.5063/AA/nceas.908.13","doi:10.5063/AA/mbauer.34.1"
"doi:10.5063/AA/nceas.908.13","doi:10.5063/AA/mbauer.72.1"
"doi:10.5063/AA/nceas.908.13","doi:10.5063/AA/mbauer.69.1"
"doi:10.5063/AA/nceas.908.13","doi:10.5063/AA/mbauer.33.1"
"doi:10.5063/AA/nceas.908.13","doi:10.5063/AA/mbauer.35.1"
"doi:10.5063/AA/nceas.908.13","doi:10.5063/AA/mbauer.988.1"
"doi:10.5063/AA/mbauer.1007.5","doi:10.5063/AA/mbauer.961.1"
"doi:10.5063/AA/mbauer.1007.5","doi:10.5063/AA/mbauer.995.1"
"doi:10.5063/AA/mbauer.1007.5","doi:10.5063/AA/mbauer.962.1"
"doi:10.5063/AA/mbauer.1007.5","doi:10.5063/AA/mbauer.963.1"
"doi:10.5063/AA/bowdish.53.5","doi:10.5063/AA/bowdish.82.1"
"Blandy.95.3","Blandy.99.1"
"Blandy.95.3","Blandy.98.1"
"Blandy.95.3","Blandy.100.1"
"doi:10.5063/AA/knb.245.9","doi:10.5063/AA/reeves.73.1"
"doi:10.5063/AA/knb.245.9","doi:10.5063/AA/reeves.74.1"
"doi:10.5063/AA/knb.245.9","doi:10.5063/AA/knb.243.1"
"doi:10.5063/AA/knb.245.9","doi:10.5063/AA/melian.6.1"
"doi:10.5063/AA/knb.245.9","doi:10.5063/AA/melian.5.1"
"doi:10.5063/AA/knb.245.9","doi:10.5063/AA/knb.244.1"
"doi:10.5063/AA/knb.245.9","doi:10.5063/AA/melian.7.1"
"doi:10.6085/AA/CA065X_065MTBD015R00_20060606.50.5","doi:10.6085/AA/CA065X_065MTBD015R00_20060606.40.2"
"doi:10.5063/AA/tao.1.1","doi:10.5063/AA/tao.2.1"
"doi:10.6085/AA/YH15XX_015MXTI013R00_19990813.50.1","doi:10.6085/AA/YH15XX_015MXTI013R00_19990813.40.1"
"doi:10.6085/AA/CBLX00_XXXIBTNXMBR11_20100520.50.2","doi:10.6085/AA/CBLX00_XXXIBTNXMBR11_20100520.40.1"
