"dcx_6d5698e2-8d07-4ffb-b495-5cfb5b5e54c6_0","iso19139_6d5698e2-8d07-4ffb-b495-5cfb5b5e54c6_0"
"e6b5e98d-c4ef-446d-bdf0-153ca4921466","abe97b5f-8159-48d5-a5c5-b4b2f8c9ea4d"
"b5fd0e07-cf13-4a6a-9507-82afb04f6336-PRISM-T-max-celcius-Luna.xml","b5fd0e07-cf13-4a6a-9507-82afb04f6336-PRISM-T-max-celcius-Luna.xlsx"
"90b8dd2c-6610-47cc-b3a3-eea8014c19df-PRISM-AgPrecip-mm-Sierra.xml","90b8dd2c-6610-47cc-b3a3-eea8014c19df-PRISM-AgPrecip-mm-Sierra.xlsx"
"93d4e16e-a9fc-4efc-86a9-5ff75b75c10e-PRISM-AgT-mean-celcius-Grant.xml","93d4e16e-a9fc-4efc-86a9-5ff75b75c10e-PRISM-AgT-mean-celcius-Grant.xlsx"
"0ca967d2-bbd9-444d-946d-d043aba74fc2-PRISM-AgT-min-celcius-SanMiguel.xml","0ca967d2-bbd9-444d-946d-d043aba74fc2-PRISM-AgT-min-celcius-SanMiguel.xlsx"
"e4466397-6628-4e89-9a3e-55c81b01da9f-PRISM-T-min-celcius-Bernalillo.xml","e4466397-6628-4e89-9a3e-55c81b01da9f-PRISM-T-min-celcius-Bernalillo.xlsx"
"c7b19210-0934-4994-a86f-656c4283ec0b-20160607-sajddh-tray1-222-1-Pre-2-Rla_summary_Calc_last.xml","c7b19210-0934-4994-a86f-656c4283ec0b-20160607-sajddh-tray1-222-1-Pre-2-Rla_summary_Calc_last.csv"
"2675fc47-a695-4afe-974f-d83b9bba4cd5-PRISM-Precip-mm-SanMiguel.xml","2675fc47-a695-4afe-974f-d83b9bba4cd5-PRISM-Precip-mm-SanMiguel.xlsx"
"doi:10.18739/A2J954","urn:uuid:5b8b388d-e7c8-4d2e-af30-8108d5da773e"
"doi:10.18739/A2J954","urn:uuid:b22ad55b-bf7d-4abb-8bbf-a53a2a0fa5e0"
"doi:10.18739/A2J954","doi:10.18739/A2J954"
"doi:10.18739/A2J954","arctic-data.9438.1"
"doi:10.18739/A2J954","arctic-data.9437.1"
"doi:10.18739/A2J954","arctic-data.9436.1"
"doi:10.18739/A2J954","urn:uuid:abc879bf-251a-4bd6-8443-07abdcf70f19"
"doi:10.18739/A2J954","urn:uuid:de630365-2cc7-4bdb-8ce1-b7e45d1f2cbe"
"doi:10.18739/A2J954","arctic-data.9441.1"
"ark:/90135/q1wd3xjq/2/mrt-eml.xml","ark:/90135/q1wd3xjq/2/wind_data_april_2013-wind_data_april_2013.csv"
"ark:/90135/q1154f1d/2/mrt-eml.xml","ark:/90135/q1154f1d/2/wind_data_march_2013-wind_data_march_2013.csv"
"ark:/90135/q17p8wct/2/mrt-eml.xml","ark:/90135/q17p8wct/2/wind_data_august_2013-wind_data_august_2013.csv"
"ark:/90135/q1h41pd3/2/mrt-eml.xml","ark:/90135/q1h41pd3/2/wind_data_june_2013-wind_data_june_2013.csv"
"ark:/90135/q1k35rmd/2/mrt-eml.xml","ark:/90135/q1k35rmd/2/rainhail_data_april_2013-rainhail_data_april_2013.csv"
"ark:/90135/q1kk98q9/3/mrt-eml.xml","ark:/90135/q1kk98q9/3/EVAWF1Package-EVAWF1Package.csv"
"ark:/90135/q1sf2t5k/4/mrt-eml.xml","ark:/90135/q1sf2t5k/4/File-metadata.csv"
"ark:/90135/q1sf2t5k/4/mrt-eml.xml","ark:/90135/q1sf2t5k/4/Federal_Librarians.csv"
"ark:/90135/q1xs5sb7/3/mrt-eml.xml","ark:/90135/q1xs5sb7/3/Verbs__and__Parameters-Verbs__and__Parameters.csv"
"ark:/90135/q1f769jn/3/mrt-eml.xml","ark:/90135/q1f769jn/3/Federal_Libraries.csv"
"ark:/90135/q1f769jn/3/mrt-eml.xml","ark:/90135/q1f769jn/3/File-metadata.csv"
"ark:/90135/q1qn64p0/2/mrt-eml.xml","ark:/90135/q1qn64p0/2/wind_data_december_2013-wind_data_december_2013.csv"
"087727ba-22ac-4253-9877-89a9d12692d8-SNSNmetadata8_22_2014_NaturalGas.xml","087727ba-22ac-4253-9877-89a9d12692d8-SNSNmetadata8_22_2014_NaturalGas.xlsx"
"dddbf655-1ffd-4973-baf8-fb492b73cb9f-PRISM-AgT-mean-celcius-Torrance.xml","dddbf655-1ffd-4973-baf8-fb492b73cb9f-PRISM-AgT-mean-celcius-Torrance.xlsx"
"9013f2e1-c42a-4608-86b9-e6446450a37b-Soy_Oil_pos.xml","9013f2e1-c42a-4608-86b9-e6446450a37b-Soy_Oil_pos.xlsx"
"db3f2965-49d1-4b48-8cb4-c8ba6fd881b2-PRISM-AgT-max-celcius-SanMiguel.xml","db3f2965-49d1-4b48-8cb4-c8ba6fd881b2-PRISM-AgT-max-celcius-SanMiguel.xlsx"
"67ec43e7-48af-4db3-bf00-782ab72e9b27-20160610-sajddh-tray10-121-10-Enr-1-CR3000_2_RawData.xml","67ec43e7-48af-4db3-bf00-782ab72e9b27-20160610-sajddh-tray10-121-10-Enr-1-CR3000_2_RawData.dat"
"dcx_0f7a5740-df94-487c-b1c2-f9ecfc235f79_2","iso19139_0f7a5740-df94-487c-b1c2-f9ecfc235f79_2"
"knb.22.1","knb.21.1"
"knb.3.2","knb.2.1"
"knb.3.2","brh0.3.1"
"knb.11.1","knb.10.1"
"gleon.1.9","cgries.8.1"
"gleon.1.9","cgries.5.1"
"gleon.1.9","cgries.9.1"
"gleon.1.9","cgries.6.1"
"gleon.1.9","cgries.10.1"
"gleon.1.9","cgries.7.1"
"gleon.1.9","cgries.11.1"
"cgries.27.3","cgries.26.1"
"knb.5.1","knb.4.1"
"knb.7.1","knb.6.1"
"knb.9.1","knb.8.1"
"https://pasta.lternet.edu/package/metadata/eml/edi/6/1","https://pasta.lternet.edu/package/report/eml/edi/6/1"
"https://pasta.lternet.edu/package/metadata/eml/edi/6/1","https://pasta.lternet.edu/package/data/eml/edi/6/1/6c16f3b59574b044dd3a44cef29b9b9b"
"https://pasta.lternet.edu/package/metadata/eml/edi/9/3","https://pasta.lternet.edu/package/data/eml/edi/9/3/480547e45c7b8beb3f70b104d8de0bd6"
"https://pasta.lternet.edu/package/metadata/eml/edi/9/3","https://pasta.lternet.edu/package/report/eml/edi/9/3"
"https://pasta.lternet.edu/package/metadata/eml/edi/9/3","https://pasta.lternet.edu/package/data/eml/edi/9/3/2d1981951436bfa5be2354f3d31906f1"
"https://pasta.lternet.edu/package/metadata/eml/edi/3/1","https://pasta.lternet.edu/package/data/eml/edi/3/1/76d277e7bcc9c97f2daa4fdfd55ef11f"
"https://pasta.lternet.edu/package/metadata/eml/edi/3/1","https://pasta.lternet.edu/package/report/eml/edi/3/1"
"https://pasta.lternet.edu/package/metadata/eml/edi/4/3","https://pasta.lternet.edu/package/data/eml/edi/4/3/9992855901774489a0df68ccca52a1bb"
"https://pasta.lternet.edu/package/metadata/eml/edi/4/3","https://pasta.lternet.edu/package/report/eml/edi/4/3"
"https://pasta.lternet.edu/package/metadata/eml/edi/16/1","https://pasta.lternet.edu/package/data/eml/edi/16/1/2fe289cee84c532df32ff8b0141f3721"
"https://pasta.lternet.edu/package/metadata/eml/edi/16/1","https://pasta.lternet.edu/package/report/eml/edi/16/1"
"https://pasta.lternet.edu/package/metadata/eml/edi/16/1","https://pasta.lternet.edu/package/data/eml/edi/16/1/826f22944153af5f850a210488f839fe"
"https://pasta.lternet.edu/package/metadata/eml/edi/16/1","https://pasta.lternet.edu/package/data/eml/edi/16/1/c40aff9cd9890dda288b1a9959e67957"
"https://pasta.lternet.edu/package/metadata/eml/edi/16/1","https://pasta.lternet.edu/package/data/eml/edi/16/1/e2ac3d8aacfb958a07be3c478689a1cd"
"https://pasta.lternet.edu/package/metadata/eml/edi/16/1","https://pasta.lternet.edu/package/data/eml/edi/16/1/bbb7be5551395687e112ca3ffab72ae5"
"https://pasta.lternet.edu/package/metadata/eml/edi/16/1","https://pasta.lternet.edu/package/data/eml/edi/16/1/bc01afc6955dbf38eee99b551a328cb2"
"https://pasta.lternet.edu/package/metadata/eml/edi/16/1","https://pasta.lternet.edu/package/data/eml/edi/16/1/6335327b59d5e9156a1006929c1d0d15"
"https://pasta.lternet.edu/package/metadata/eml/edi/7/1","https://pasta.lternet.edu/package/data/eml/edi/7/1/d03a54fdf479c066b770fc04bbf73912"
"https://pasta.lternet.edu/package/metadata/eml/edi/7/1","https://pasta.lternet.edu/package/report/eml/edi/7/1"
"https://pasta.lternet.edu/package/metadata/eml/ecotrends/568/2","https://pasta.lternet.edu/package/data/eml/ecotrends/568/2/8a93f5ac901307b13de3f54890aae6d4"
"https://pasta.lternet.edu/package/metadata/eml/ecotrends/568/2","https://pasta.lternet.edu/package/report/eml/ecotrends/568/2"
"doi:10.6085/AA/LBS15X_015MTV2004R00_20090722.50.1","doi:10.6085/AA/LBS15X_015MTV2004R00_20090722.40.1"
"doi:10.6085/AA/FCKX00_XXXIBTNXTSR01_20000911.50.1","doi:10.6085/AA/FCKX00_XXXIBTNXTSR01_20000911.40.1"
"c1c7d441-d7ac-4d67-8437-0dfda0860ceb","c81eb75e-6184-43a3-a8ea-34891526bc1c"
"MontanaIOE.112.2","MontanaIOE.111.1"
"MontanaIOE.126.2","MontanaIOE.125.1"
"MontanaIOE.89.3","MontanaIOE.88.1"
"MontanaIOE.89.3","MontanaIOE.85.1"
"MontanaIOE.89.3","MontanaIOE.83.1"
"MontanaIOE.89.3","MontanaIOE.84.1"
"MontanaIOE.89.3","MontanaIOE.86.1"
"MontanaIOE.89.3","MontanaIOE.87.1"
"MontanaIOE.12.8","MontanaIOE.78.1"
"MontanaIOE.12.8","MontanaIOE.79.1"
"MontanaIOE.12.8","MontanaIOE.81.1"
"MontanaIOE.12.8","MontanaIOE.77.1"
"MontanaIOE.12.8","MontanaIOE.80.1"
"MontanaIOE.12.8","MontanaIOE.75.1"
"MontanaIOE.12.8","MontanaIOE.73.1"
"MontanaIOE.12.8","MontanaIOE.72.1"
"MontanaIOE.12.8","MontanaIOE.76.1"
"MontanaIOE.12.8","MontanaIOE.71.1"
"MontanaIOE.12.8","MontanaIOE.74.1"
"MontanaIOE.92.3","MontanaIOE.91.1"
"MontanaIOE.92.3","MontanaIOE.90.1"
"MontanaIOE.118.2","MontanaIOE.117.1"
"MontanaIOE.100.3","MontanaIOE.101.1"
"MontanaIOE.100.3","MontanaIOE.97.1"
"MontanaIOE.100.3","MontanaIOE.98.1"
"MontanaIOE.100.3","MontanaIOE.99.1"
"9d95ab7c-3743-488a-ad40-f700fb140371","82eb3c38-7667-44c1-9072-b23374c9f96b"
"bcdd58b6-a071-4406-9ecc-0fe468d60a81","6e86aa5b-9bd4-4cd5-8b08-81072b483210"
"20c99341-be22-4fd4-b3a7-b5d66069c418","6b9455e2-edc7-43d1-80b3-66acf4f6fa6b"
"1772d995-2dfb-49c2-a0d1-e726aa48e556","1272a3a2-683d-47fe-ba88-054de2e3bab4"
"eec2f497-fcf4-4a5c-9640-93d4ec0b7dff","fb8c6997-368e-4296-b107-a182030d89af"
"e03d3f19-1a2e-4ddb-99a2-0d6a2d2fb894","0a8e19f4-d912-423f-8747-b9e46fa9d217"
"6132306c-29e2-4b12-9e47-9389ccfacb4c","b6f912e2-80ca-4be3-9bfe-71af80aace84"
"42af870c-a0d4-4cdc-a405-946d275b0ece","b217601c-3b79-491b-9628-0a17da8a67e2"
"522c1dbf-3951-4bf7-bc81-8982eab65d57","975f8ef0-29d0-4ca9-9ac0-3d01fed085d4"
"64379771-0f8c-4ec2-afb9-2e268ef52cc3","89d47eb5-b676-4eaf-a974-ddd0ee8c32a0"
"doi:10.1575/1912/bco-dmo.661339","http://lod.bco-dmo.org/id/dataset-file/664511"
"doi:10.1575/1912/bco-dmo.661339","http://lod.bco-dmo.org/id/dataset-file/664512"
"doi:10.1575/1912/bco-dmo.661339","http://lod.bco-dmo.org/id/dataset-file/664510"
